Month,Region,State,Energy Requirement,Energy met,Peak Demand Met
01-05-2024,ER,Meghalaya,160,160,394
01-05-2024,NER,Mizoram,57,57,130
01-05-2024,NER,Nagaland,80,80,177
01-05-2024,NER,Tripura,164,164,386
01-04-2024,NER,Chandigarh,131,131,258
01-04-2024,NER,Delhi,2843,2843,5447
01-04-2024,NER,Haryana,4671,4671,9502
01-04-2024,NER,Himachal Pradesh,943,942,1819
01-04-2024,NER,J&K(UT) and Ladakh(UT),1521,1511,2924
01-04-2024,NER,Punjab,4610,4610,10061
01-04-2024,NR,Rajasthan,8142,8137,14283
01-04-2024,NR,Uttar Pradesh,13093,13093,25462
01-04-2024,NR,Uttarakhand,1306,1305,2357
01-04-2024,NR,Railway NR ISTS,119,119,220
01-04-2024,NR,Gujarat,14015,14015,23916
01-04-2024,NR,Madhya Pradesh,8018,7998,13151
01-04-2024,NR,Chhattisgarh,3978,3976,6347
01-04-2024,WR,Maharashtra,18528,18526,28924
01-04-2024,WR,Goa,480,479,803
01-04-2024,WR,Andhra Pradesh,7347,7347,13418
01-04-2024,WR,Telangana,7293,7298,13884
01-04-2024,WR,Karnataka,9457,9462,16985
01-04-2024,SR,Kerala,3189,3191,5646
01-04-2024,SR,Tamil Nadu,12641,12649,20701
01-04-2024,SR,Puducherry,320,320,517
01-04-2024,SR,Bihar,3871,3844,7051
01-04-2024,SR,Jharkhand,1312,1284,2187
01-04-2024,ER,Odisha,3901,3901,6860
01-04-2024,ER,West Bengal,7027,7027,12756
01-04-2024,ER,Sikkim,47,47,105
01-04-2024,ER,Railway ER ISTS,4,4,18
01-04-2024,ER,Arunachal Pradesh,75,75,185
01-04-2024,ER,Assam,994,994,2012
01-04-2024,ER,Manipur,85,85,214
01-04-2024,ER,Meghalaya,166,166,408
01-04-2024,NER,Mizoram,56,56,130
01-04-2024,NER,Nagaland,67,67,166
01-04-2024,NER,Tripura,167,167,363
